,comment,target
79,"I felt this module, like most, represented good value for money. It's obviously not exhaustive, but you shouldn't expect it to be for the price.The final quiz was a nice challenge and struck a good balance between course material and requiring you to research information online.","{'modul': ['module'], 'valu': ['value'], 'money': ['money'], 'price.th quiz': ['price.The quiz'], 'challeng': ['challenge'], 'balanc': ['balance'], 'cours materi': ['course material'], 'research inform': ['research information'], 'onlin': ['online']}"
80,The course cost too much for the gain of knowledge. Feels like this course could be merge with the first or the third course.,"{'cours': ['course'], 'cost': ['cost'], 'gain': ['gain'], 'knowledg': ['knowledge']}"
81,"Forcing users to install demo software which requires a registration is just too lame.Other than that, courser is very boring, introductory, jumps constantly between things and doesn't explain much. Stack overflow and 2 hours would do a better job.","{'user': ['users'], 'demo softwar': ['demo software'], 'registr': ['registration'], 'courser': ['courser'], 'overflow hour': ['overflow hours'], 'job': ['job']}"
82,"The virtual machine for running the environment is, at start, a good idea. But even with 8 core i7 with 8G of RAM laptop, it was sometime painful to process the exercices. Maybe an ubuntu virtualbox laptop compatibility...","{'machin': ['machine'], 'start': ['start'], 'idea': ['idea'], 'core i7': ['core i7']}"
83,The final quiz was a bit tough and needed understanding and googling,"{'quiz': ['quiz'], 'bit': ['bit'], 'understand': ['understanding'], 'googl': ['googling']}"
84,"Very interesting course, and a good practical exercise at the end","{'cours': ['course'], 'exercis': ['exercise'], 'end': ['end']}"
85,"What a great relief, after passing that last quiz, it took my entire Memorial Day weekend, after the Microsoft Windows 10 Creators upgrade totally ruined my Virtualbox installation for the Cloudera QuickStart VM. Looks like that is a very very good quiz. ","{'relief': ['relief'], 'quiz': ['quiz'], 'memori day weekend': ['Memorial Day weekend'], 'microsoft window creator': ['Microsoft Windows Creators'], 'virtualbox instal': ['Virtualbox installation'], 'cloudera quickstart vm': ['Cloudera QuickStart VM']}"
86,"Great course, only a bit difficult on Spark assignment for the people that are not familiar or a bit rusty with python and programming.Thanks againluca","{'cours': ['course'], 'bit': ['bit'], 'spark assign': ['Spark assignment'], 'peopl': ['people'], 'python': ['python'], 'programming.thank againluca': ['programming.Thanks againluca']}"
87,It was A greate course ,{'great cours': ['greate course']}
88,Excellent!,{}
89,the quiz at the end is impossible to solve with the course content.,"{'quiz': ['quiz'], 'end': ['end'], 'cours content': ['course content']}"
90,"Excellent course design, it gives you basic of MongoDB, Splunk and Apache Spark. Happy learning and think BIG DATA","{'cours design': ['course design'], 'mongodb': ['MongoDB'], 'splunk': ['Splunk'], 'apach spark': ['Apache Spark'], 'learn': ['learning'], 'big data': ['BIG DATA']}"
91,"Very good course, and challenging, by the way. Thanks a lot!","{'cours': ['course'], 'way': ['way'], 'thank': ['Thanks'], 'lot': ['lot']}"
92,Excellent course and very demanding! I really enjoyed. ,{'cours': ['course']}
93,Get a better description in the week 6,"{'descript': ['description'], 'week': ['week']}"
94,"the course content is critical and as it appears in many interviews, and the fundamental understanding is important for beginners to learn this new area. however I think the software spark or mongoDB can be taught in a more systematic way at least point out some resources that can help people learn them based on individual needs I understand this course is for beginners and people supposed to learn deeper on themselves. but a road map will be helpful and reduce the pain finishing the tests.","{'cours content': ['course content'], 'interview': ['interviews'], 'understand': ['understanding'], 'beginn': ['beginners'], 'area': ['area'], 'softwar': ['software'], 'mongodb': ['mongoDB'], 'way': ['way'], 'point': ['point'], 'resourc': ['resources'], 'peopl': ['people'], 'need': ['needs'], 'cours': ['course'], 'road map': ['road map'], 'pain': ['pain'], 'test': ['tests']}"
95,I enjoyed this course. I learnt a lot of stuff about Big Data processing in a simple and clear way.,"{'cours': ['course'], 'lot': ['lot'], 'stuff': ['stuff'], 'big data process': ['Big Data processing'], 'way': ['way']}"
96,Pros covers lots of good topics about Big DataCons No real big data exercise,"{'pros': ['Pros'], 'lot': ['lots'], 'topic': ['topics'], 'datacon data exercis': ['DataCons data exercise']}"
97,"We need more exercises to use phyton and spark because with only the examples the hands on quizes are very complicated and I feel that I'm not understanding very well how to use the bigdata tools, is more like error and proof than real learningthanks a lot!!!","{'exercis': ['exercises'], 'phyton': ['phyton'], 'exampl': ['examples'], 'hand': ['hands'], 'quiz': ['quizes'], 'bigdata tool': ['bigdata tools'], 'error': ['error'], 'proof': ['proof'], 'learningthank': ['learningthanks']}"
98,The materials explaining the course are too poor. This is a core course in the specialization.The quizzes are out of the material's league,"{'materi': ['material', 'materials'], 'cours': ['course'], 'core cours': ['core course']}"
99,"Very Good Course! I'd never used spark before, and doing and passing the assignment on it was very rewarding!","{'cours': ['Course'], 'assign': ['assignment']}"
100,"This course is more hands on than previous courses, I've found it very interesting and useful","{'cours': ['course', 'courses'], 'hand': ['hands']}"
101,One of the best ways to start to be in contact with the real Big Data Tools,"{'way': ['ways'], 'big data tool': ['Big Data Tools']}"
102,Thank you. Spark in this course is very helpful.,{'cours': ['course']}
103,Course was excellent. I liked the hands on sessions the most. Not too easy and not too difficult. They encourage you to explore more and learn more.,"{'cours': ['Course'], 'hand': ['hands'], 'session': ['sessions']}"
104,The VM doesn't work out of the box sometimes for the hands on activities,"{'vm': ['VM'], 'box': ['box'], 'hand': ['hands'], 'activ': ['activities']}"
105,"A little slower than the last ones, not my favorite but great use of hands-on projects and enagagement","{'one': ['ones'], 'use': ['use'], 'project': ['projects'], 'enagag': ['enagagement']}"
106,Lot of learning in this course compared to the first two courses. ,"{'lot': ['Lot'], 'cours': ['course', 'courses']}"
107,Big data integration and processing is a very nice theoretical course on big data integrations systems and also includes a bunch of practical exercises with big data integration products. The assignments including mongodb and apache spark are worth doing. ,"{'data integr': ['data integration'], 'process': ['processing'], 'cours': ['course'], 'data integr system': ['data integrations systems'], 'bunch': ['bunch'], 'exercis': ['exercises'], 'data integr product': ['data integration products'], 'assign': ['assignments'], 'mongodb': ['mongodb'], 'apach': ['apache']}"
108,Very good course and professors. I recommend it. ,"{'cours': ['course'], 'professor': ['professors']}"
109,I found this course like the others. I really liked the hands on labs. It gave a real feel for the programs being explained,"{'cours': ['course'], 'other': ['others'], 'hand': ['hands'], 'lab': ['labs'], 'feel': ['feel'], 'program': ['programs']}"
110,I learned a lot of implementation of the techniques and concepts that were covered earlier. A great experience.,"{'lot': ['lot'], 'techniqu': ['techniques'], 'concept': ['concepts'], 'experi': ['experience']}"
111,Lots of learning of programming Spark and MongoDB,"{'lot': ['Lots'], 'learn': ['learning'], 'program spark': ['programming Spark'], 'mongodb': ['MongoDB']}"
112,"The course was good enough...but exercises were very simple. Only the final course was little bit challenging. For a guy that sits in IT business for a while it's rather too simple. Besides, I've learned spark basics which is super cool...so thanks for thatMaybe you could consider to build docker image instead of using virtual machines. VM is ok, but I think that docker can simplify all the stuff without necessary downloading, installations etc.Looking forward to the next spark challenges ","{'cours': ['course'], 'exercis': ['exercises'], 'bit': ['bit'], 'it busi': ['IT business'], 'basic': ['basics'], 'cool': ['cool'], 'thank': ['thanks'], 'thatmayb': ['thatMaybe'], 'machin': ['machines'], 'vm': ['VM'], 'docker': ['docker'], 'stuff': ['stuff'], 'download': ['downloading'], 'instal': ['installations'], 'spark challeng': ['spark challenges']}"
113,Lots of good hands-on and explanation...,{'lot': ['Lots']}
114,"Goog hands-on and assessments, i like it and it took me sometime and reading to solve itThanks","{'goog': ['Goog'], 'assess': ['assessments']}"
115,course is very good. Excercises are very good. learnt alot about the mongodb and spark sql and RDD's,"{'cours': ['course'], 'excercis': ['Excercises'], 'alot': ['alot'], 'mongodb': ['mongodb']}"
116,"interesting course, I learned a lot about MongoDB ","{'cours': ['course'], 'lot': ['lot'], 'mongodb': ['MongoDB']}"
117,"Programming instructions were not clear, and the version of Python that was installed on my machine did not support the Jupy","{'instruct': ['instructions'], 'version': ['version'], 'python': ['Python'], 'machin': ['machine'], 'jupi': ['Jupy']}"
118,a wide spectrum of tools practiced. awesome!,"{'spectrum': ['spectrum'], 'tool': ['tools']}"
119,"some of the stuff was not mentioned properly, like for last quiz how to expoert data from mongodb","{'stuff': ['stuff'], 'quiz': ['quiz'], 'data': ['data'], 'mongodb': ['mongodb']}"
120,I miss a proper buildup from the theory to the practical exercises. Especially the last quiz I found very difficult based on the limited number of exercises presented upfront.,"{'buildup': ['buildup'], 'theori': ['theory'], 'exercis': ['exercises'], 'quiz': ['quiz'], 'number': ['number']}"
121,Good amount of theory and also hands-on exercises with some of the tools.,"{'amount': ['amount'], 'theori': ['theory'], 'exercis': ['exercises'], 'tool': ['tools']}"
122,This course is great!!! I love the handson most. Working with tweet text was really challenging for me but it was worth the time and effort. ,"{'cours': ['course'], 'handson': ['handson'], 'tweet text': ['tweet text'], 'time': ['time'], 'effort': ['effort']}"
123,Very well explained!! This course and specialization are really good!,"{'cours': ['course'], 'special': ['specialization']}"
124,Excelent practical course,{'cours': ['course']}
125,The Spark introduction and exercises were good. It would be an added advantage if the final steps answers also get published. ,"{'spark introduct': ['Spark introduction'], 'exercis': ['exercises'], 'advantag': ['advantage'], 'step': ['steps']}"
126,"The assessments are quite tough compared to the course examples. Moreover, some programming basics should be given or made to understand, especially in Spark, as these are very","{'assess': ['assessments'], 'cours exampl': ['course examples'], 'program basic': ['programming basics'], 'spark': ['Spark']}"
127,"The best course so far still not doing 4,5,6 It is more complex than the first two.",{'cours': ['course']}
128,wonderful course but information much more condense for beginners for this course is hard because lots of error and even no solution on cloudera community blog. first experience with Mongodb after this course i am able to say that yes i have knowledge how to work with mongo and spark at beginners level. ,"{'cours': ['course'], 'inform': ['information'], 'beginn': ['beginners'], 'lot': ['lots'], 'error': ['error'], 'solut': ['solution'], 'mongodb': ['Mongodb'], 'knowledg': ['knowledge'], 'mongo': ['mongo'], 'beginn level': ['beginners level']}"
129,Content was good however we need to get more support on hands on as sometime we feel that we are stuck due to non availability of the right ,"{'content': ['Content'], 'support': ['support'], 'hand': ['hands'], 'avail': ['availability'], 'right': ['right']}"
130,"Some of the lectures seemed slightly lesser quality with regards to the materials. For moocs especially, I would like to have the lecture better documented in order to download and review later.","{'qualiti': ['quality'], 'materi': ['materials'], 'mooc': ['moocs']}"
131,"Poorly designed, no help whatsoever from the staff, Forum is totally worthless. Worst course I ever had on Coursera.","{'help': ['help'], 'forum': ['Forum'], 'cours': ['course']}"
132,"I feel the contents of this course were great, no second thought on it. It makes your concepts crystal clear. But faced lots of issues during practicing the hands on exercises and did not get proper feedback or response on any of the queries.","{'content': ['contents'], 'cours': ['course'], 'thought': ['thought'], 'concept': ['concepts'], 'lot': ['lots'], 'issu': ['issues'], 'hand': ['hands'], 'exercis': ['exercises'], 'feedback': ['feedback'], 'respons': ['response']}"
133,"It was a good course, different data sources and spark in action","{'cours': ['course'], 'data sourc': ['data sources'], 'action': ['action']}"
134,The lectures were very structured and informative. The quizes were challenging. The final week was demanding and fleshed out concepts,"{'quiz': ['quizes'], 'week': ['week'], 'concept': ['concepts']}"
135,It was a very helpful course in understanding of the Big Data Integration and Processing. Learned a lot. Thanks to the instructors and Coursera team.,"{'cours': ['course'], 'understand': ['understanding'], 'big data integr': ['Big Data Integration'], 'process': ['Processing'], 'lot': ['lot'], 'thank': ['Thanks'], 'instructor': ['instructors'], 'coursera team': ['Coursera team']}"
136,I had many problems with the final two programming assignments with running Spark in the VM and there isn't a lot of help available online. ,"{'problem': ['problems'], 'program assign': ['programming assignments'], 'spark': ['Spark'], 'vm': ['VM'], 'lot': ['lot'], 'help': ['help'], 'onlin': ['online']}"
137,Good last week practice!!,"{'week': ['week'], 'practic': ['practice']}"
138,"Very challenging, specially in the week 6 quizzes where a lot of researching took place in order to pass it. ","{'week': ['week'], 'lot': ['lot'], 'place': ['place']}"
139,Excellent..but not easy. Be prepared to have to do some research! But hey....isn't that part of being a data scientist!,{'research': ['research']}
140, Great course! The practices were very useful to me to understand the subjects. ,"{'cours': ['course'], 'practic': ['practices'], 'subject': ['subjects']}"
141,Awful,{}
142,"The final assessment somewhat not really well designed, imho.",{'assess': ['assessment']}
143,Needs more depth. Instructors should reference more external readings since the lectures are brief.,"{'need': ['Needs'], 'depth': ['depth'], 'instructor': ['Instructors'], 'read': ['readings']}"
144,Good experience of using the big data tools but a total lack of engagement in the forums by the instructors and community mentors make it hard going if anything goes wrong. The final quiz took me over 8 hours mostly because there was no one to ask for hints when I was totally stuck and confused! ,"{'experi': ['experience'], 'data tool': ['data tools'], 'lack': ['lack'], 'engag': ['engagement'], 'forum': ['forums'], 'instructor': ['instructors'], 'communiti mentor': ['community mentors'], 'anyth': ['anything'], 'quiz': ['quiz'], 'hour': ['hours'], 'one': ['one']}"
145,"Course is well balanced between theory and practical exercises. Assignments in week 6 for me was challenging but very instructive. I learned many interesting, and useful in real world, things.","{'cours': ['Course'], 'theori': ['theory'], 'exercis': ['exercises'], 'assign': ['Assignments'], 'week': ['week'], 'world': ['world']}"
146,"Overall this course does have some good content and delivers big data concepts. However, as others have mentioned some content especially in early modules could either be combined or ommited. Key focus areas on Spark and MongoDB are not given enough focus and lab time. The quizes have badly worded questions. Finally the last assignment required to pass the class has bad directions and covers content not reviewed in the class. Spent a frustrating amount of time trying to get what most likely is simple code to work. I'm hoping this particular module is revised. For those just interested in learning Spark or Mongo and not doing the certificate program you can probably get better learning from doing your own research.","{'cours': ['course'], 'content': ['content'], 'data concept': ['data concepts'], 'other': ['others'], 'modul': ['module', 'modules'], 'key focus area': ['Key focus areas'], 'spark': ['Spark'], 'mongodb': ['MongoDB'], 'focus': ['focus'], 'lab time': ['lab time'], 'quiz': ['quizes'], 'question': ['questions'], 'assign': ['assignment'], 'class': ['class'], 'direct': ['directions'], 'amount': ['amount'], 'time': ['time'], 'code': ['code'], 'mongo': ['Mongo'], 'certif program': ['certificate program'], 'learn': ['learning'], 'research': ['research']}"
147,Great course !!!,{'cours': ['course']}
148,I recommend more practical work but as an introductory course it is OK.,"{'work': ['work'], 'cours': ['course']}"
149,Quizes are inconsistent with given dataset. Questions are bad i.e. what is the difference between number of distinct countries mentioned and number of countries mentioned in tweets.,"{'quiz': ['Quizes'], 'dataset': ['dataset'], 'question': ['Questions'], 'differ': ['difference'], 'number': ['number'], 'countri': ['countries']}"
150,"This is a very descent to understand MongoDB and Apache Spark. It contains hands on assignments will will allow you to learn how to handle these two software. The course is introductory level, and I recommend this course to people who have not used MongoDB and Apache Spark.","{'descent': ['descent'], 'mongodb': ['MongoDB'], 'apach spark': ['Apache Spark'], 'hand': ['hands'], 'assign': ['assignments'], 'softwar': ['software'], 'cours': ['course'], 'level': ['level'], 'peopl': ['people']}"
151,It's good,{}
152,I tried giving zero stars. This course is very poor. In particular the last portion of the class wherein you are tested on things that were not taught. If I had wanted to spend hours in google trying to learn this stuff I would not have spent money on this course.,"{'cours': ['course'], 'portion': ['portion'], 'class': ['class'], 'hour': ['hours'], 'googl': ['google'], 'stuff': ['stuff'], 'money': ['money']}"
153,"Loved it! Very practical and hands-on, with a variety of platforms used on practical examples. I'm off to analyse some social media data soon just for fun ","{'varieti': ['variety'], 'platform': ['platforms'], 'exampl': ['examples'], 'media data': ['media data'], 'fun': ['fun']}"
154,"I felt this module, like most, represented good value for money. It's obviously not exhaustive, but you shouldn't expect it to be for the price.The final quiz was a nice challenge and struck a good balance between course material and requiring you to research information online.","{'modul': ['module'], 'valu': ['value'], 'money': ['money'], 'price.th quiz': ['price.The quiz'], 'challeng': ['challenge'], 'balanc': ['balance'], 'cours materi': ['course material'], 'research inform': ['research information'], 'onlin': ['online']}"
155,The course cost too much for the gain of knowledge. Feels like this course could be merge with the first or the third course.,"{'cours': ['course'], 'cost': ['cost'], 'gain': ['gain'], 'knowledg': ['knowledge']}"
156,"Forcing users to install demo software which requires a registration is just too lame.Other than that, courser is very boring, introductory, jumps constantly between things and doesn't explain much. Stack overflow and 2 hours would do a better job.","{'user': ['users'], 'demo softwar': ['demo software'], 'registr': ['registration'], 'courser': ['courser'], 'overflow hour': ['overflow hours'], 'job': ['job']}"
